date,benchmark_close,market_regime,max_total_exposure,current_total_exposure,current_cash,effective_universe_size,holdings_count,decision_scope_size,candidates_seen,passed_base_filter_count,passed_bucket_filter_count,passed_valuation_filter_count,passed_quality_filter_count,passed_price_trigger_count,raw_buy_signal_count,raw_sell_signal_count,blocked_by_universe_count,blocked_by_market_regime_count,blocked_by_cash_count,blocked_by_position_limit_count,blocked_by_single_name_limit_count,blocked_by_min_trade_amount_count,blocked_by_lot_size_count,blocked_by_existing_position_count,blocked_by_hard_add_ban_count,executable_buy_count,executable_sell_count,executed_buy_count,executed_sell_count
2023-09-28,3689.5172,risk_off,0.4,0.0,200000.0,14,0,4975,4975,4974,1294,294,15,3205,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
2023-10-09,3684.7272,risk_off,0.4,0.0,200000.0,14,0,4975,4975,4974,1294,301,16,3332,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
2023-10-10,3657.1259,risk_off,0.4,0.0,200000.0,14,0,4978,4978,4977,1294,316,16,3382,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
2023-10-11,3667.5483,risk_off,0.4,0.0,200000.0,14,0,4978,4978,4977,1294,319,18,3357,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
2023-10-12,3702.3824,risk_off,0.4,0.0,200000.0,14,0,4978,4978,4977,1294,295,16,3230,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
2023-10-13,3663.4104,risk_off,0.4,0.0,200000.0,14,0,4978,4978,4977,1295,316,18,3363,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
2023-10-16,3626.5972,risk_off,0.4,0.0,200000.0,14,0,4979,4979,4978,1295,317,18,3404,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
2023-10-17,3639.4018,risk_off,0.4,0.0,200000.0,14,0,4981,4981,4980,1295,311,18,3399,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
2023-10-18,3610.5767,risk_off,0.4,0.0,200000.0,14,0,4980,4980,4979,1294,328,19,3685,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
2023-10-19,3533.5445,risk_off,0.4,0.0,200000.0,14,0,4982,4982,4981,1295,343,24,3824,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
2023-10-20,3510.5889,risk_off,0.4,0.0,200000.0,14,0,4983,4983,4982,1295,351,23,3970,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
2023-10-23,3474.2438,risk_off,0.4,0.0,200000.0,14,0,4984,4984,4983,1295,621,31,4203,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
2023-10-24,3487.1302,risk_off,0.4,0.0,200000.0,14,0,4984,4984,4983,1295,347,24,3889,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
2023-10-25,3504.4576,risk_off,0.4,0.0,200000.0,14,0,4985,4985,4984,1295,334,23,3702,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
2023-10-26,3514.1448,risk_off,0.4,0.0,200000.0,14,0,4985,4985,4984,1295,330,25,3648,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
2023-10-27,3562.3851,risk_off,0.4,0.0,200000.0,14,0,4985,4985,4984,1295,323,27,3445,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
2023-10-30,3583.7718,risk_off,0.4,0.0,200000.0,14,0,4984,4984,4983,1296,328,33,3191,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
2023-10-31,3572.5056,risk_off,0.4,0.0,200000.0,14,0,4987,4987,4986,1297,326,34,3229,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
2023-11-01,3571.0268,risk_off,0.4,0.0,200000.0,16,0,4989,4989,4988,1297,333,36,3174,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
2023-11-02,3554.1889,risk_off,0.4,0.0,200000.0,16,0,4988,4988,4987,1296,338,36,3334,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
2023-11-03,3584.1364,risk_off,0.4,0.0,200000.0,16,0,4990,4990,4989,1298,334,35,3155,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
2023-11-06,3632.6084,risk_off,0.4,0.0,200000.0,16,0,4984,4984,4983,1295,317,35,2842,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
2023-11-07,3619.7593,risk_off,0.4,0.0,200000.0,16,0,4987,4987,4986,1297,311,36,2736,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
2023-11-08,3611.0723,risk_off,0.4,0.0,200000.0,16,0,4989,4989,4988,1299,320,36,2715,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
2023-11-09,3612.8263,risk_off,0.4,0.0,200000.0,16,0,4989,4989,4988,1300,318,36,2820,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
2023-11-10,3586.4893,risk_off,0.4,0.0,200000.0,16,0,4989,4989,4988,1299,318,35,2805,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
2023-11-13,3579.4141,risk_off,0.4,0.0,200000.0,16,0,4991,4991,4990,1300,309,36,2624,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
2023-11-14,3582.0584,risk_off,0.4,0.0,200000.0,16,0,4991,4991,4990,1300,301,34,2555,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
2023-11-15,3607.2454,risk_off,0.4,0.0,200000.0,16,0,4990,4990,4989,1300,294,34,2422,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
2023-11-16,3572.3641,risk_off,0.4,0.0,200000.0,16,0,4989,4989,4988,1300,305,35,2569,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
2023-11-17,3568.0685,risk_off,0.4,0.0,200000.0,16,0,4991,4991,4990,1300,301,36,2405,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
2023-11-20,3576.3233,risk_off,0.4,0.0,200000.0,16,0,4993,4993,4992,1299,293,34,2245,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
2023-11-21,3581.0674,risk_off,0.4,0.0,200000.0,16,0,4994,4994,4993,1299,300,35,2310,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
2023-11-22,3544.4162,risk_off,0.4,0.0,200000.0,16,0,4994,4994,4993,1299,315,38,2485,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
2023-11-23,3561.5204,risk_off,0.4,0.0,200000.0,16,0,4994,4994,4993,1299,304,35,2292,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
2023-11-24,3538.0087,risk_off,0.4,0.0,200000.0,16,0,4995,4995,4994,1300,314,36,2532,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
2023-11-27,3511.9424,risk_off,0.4,0.0,200000.0,16,0,4995,4995,4994,1300,314,38,2533,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
2023-11-28,3518.5232,risk_off,0.4,0.0,200000.0,16,0,4995,4995,4994,1300,310,38,2379,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
