date,ts_code,name,bucket,intended_action,intended_signal_level,intended_target_weight,current_weight,close,stock_valuation_quantile,stock_valuation_quantile_source_field,industry_valuation_quantile,industry_valuation_quantile_source_field,valuation_fallback_used,valuation_fallback_reason,reason_code,reason_detail
2023-05-04,002032.sz,苏 泊 尔,defensive_dividend,BUY_1,BUY_1,0.04,0.0,42.3,33.04935767410412,stock_pe_ttm_q_blended,49.492095526404306,industry_pe_ttm_q_blended,False,,MIN_TRADE_AMOUNT,目标成交额低于最小交易额，订单被阻断。
2023-05-05,002032.sz,苏 泊 尔,defensive_dividend,BUY_1,BUY_1,0.04,0.0,42.68,34.61409987208264,stock_pe_ttm_q_blended,45.80469706793458,industry_pe_ttm_q_blended,False,,MIN_TRADE_AMOUNT,目标成交额低于最小交易额，订单被阻断。
2023-05-08,002032.sz,苏 泊 尔,defensive_dividend,BUY_1,BUY_1,0.04,0.0,41.83,31.61094224924012,stock_pe_ttm_q_blended,44.20372503840247,industry_pe_ttm_q_blended,False,,MIN_TRADE_AMOUNT,目标成交额低于最小交易额，订单被阻断。
2023-05-09,002032.sz,苏 泊 尔,defensive_dividend,BUY_1,BUY_1,0.04,0.0,41.94,32.09656419529838,stock_pe_ttm_q_blended,42.425812642437336,industry_pe_ttm_q_blended,False,,MIN_TRADE_AMOUNT,目标成交额低于最小交易额，订单被阻断。
2023-05-10,002032.sz,苏 泊 尔,defensive_dividend,BUY_1,BUY_1,0.04,0.0,42.19,32.853479853479854,stock_pe_ttm_q_blended,44.80563947633434,industry_pe_ttm_q_blended,False,,MIN_TRADE_AMOUNT,目标成交额低于最小交易额，订单被阻断。
2023-05-11,002032.sz,苏 泊 尔,defensive_dividend,BUY_1,BUY_1,0.04,0.0,42.02,32.280511597658794,stock_pe_ttm_q_blended,43.83389651784216,industry_pe_ttm_q_blended,False,,MIN_TRADE_AMOUNT,目标成交额低于最小交易额，订单被阻断。
2023-05-12,002032.sz,苏 泊 尔,defensive_dividend,BUY_1,BUY_1,0.04,0.0,42.01,32.27069189657663,stock_pe_ttm_q_blended,44.69684775318578,industry_pe_ttm_q_blended,False,,MIN_TRADE_AMOUNT,目标成交额低于最小交易额，订单被阻断。
2023-05-15,002032.sz,苏 泊 尔,defensive_dividend,BUY_1,BUY_1,0.04,0.0,41.87,31.650400635241468,stock_pe_ttm_q_blended,46.30244918480213,industry_pe_ttm_q_blended,False,,MIN_TRADE_AMOUNT,目标成交额低于最小交易额，订单被阻断。
2023-05-16,002032.sz,苏 泊 尔,defensive_dividend,BUY_1,BUY_1,0.04,0.0,41.63,31.0981240981241,stock_pe_ttm_q_blended,43.512084230677196,industry_pe_ttm_q_blended,False,,MIN_TRADE_AMOUNT,目标成交额低于最小交易额，订单被阻断。
2023-05-17,002032.sz,苏 泊 尔,defensive_dividend,BUY_1,BUY_1,0.04,0.0,41.78,31.49537270738684,stock_pe_ttm_q_blended,43.6372964052522,industry_pe_ttm_q_blended,False,,MIN_TRADE_AMOUNT,目标成交额低于最小交易额，订单被阻断。
2023-05-18,002032.sz,苏 泊 尔,defensive_dividend,BUY_1,BUY_1,0.04,0.0,41.59,31.01109989909183,stock_pe_ttm_q_blended,46.270223752151466,industry_pe_ttm_q_blended,False,,MIN_TRADE_AMOUNT,目标成交额低于最小交易额，订单被阻断。
2023-05-26,002032.sz,苏 泊 尔,defensive_dividend,BUY_1,BUY_1,0.04,0.0,41.91,31.942320590207913,stock_pe_ttm_q_blended,49.169169169169166,industry_pe_ttm_q_blended,False,,MIN_TRADE_AMOUNT,目标成交额低于最小交易额，订单被阻断。
2023-05-29,000333.sz,美的集团,defensive_dividend,BUY_1,BUY_1,0.04,0.0,44.05,25.43562701280822,stock_pe_ttm_q_blended,46.85649967841064,industry_pe_ttm_q_blended,False,,MIN_TRADE_AMOUNT,目标成交额低于最小交易额，订单被阻断。
