annual_return,cumulative_return,max_drawdown,sharpe,calmar,volatility,total_trades,buy_trades,sell_trades,avg_daily_exposure,max_daily_exposure,exposure_active_days_ratio,avg_positions,max_positions,turnover,total_fees,total_tax,total_slippage,realized_pnl,unrealized_pnl,profit_factor,profile,execution_mode,benchmark_annual_return,excess_annual_return,defensive_pnl,cyclical_pnl,control_id,seed,row_type
0.027488665650790223,0.08125739543851185,-0.16604144219690908,0.24960689067169153,0.16555304077756278,0.14627020489730358,420.0,217.0,203.0,0.6638370194033515,0.9412068837785514,1.0,12.18457300275482,20.0,23.609135201445678,1416.5481120867407,1142.6861884193358,2360.8763397917164,19851.753486737318,-2869.337999999982,1.2211558672178582,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,-0.0013956897429410198,4009.9171764001026,12972.498310337243,random_placebo_seed_33,33,seed
0.03756103558636159,0.11207627207078219,-0.1503123208736391,0.3445595828058799,0.24988660522338343,0.13251674313030093,410.0,213.0,197.0,0.6525131505793612,0.9825844820951964,1.0,11.9366391184573,20.0,23.020493071580976,1381.2295842948588,1115.1815699711547,2302.014039577744,31474.646556468426,-8347.271499999986,1.3785706154413435,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,0.008676680192630348,15049.532624400137,8077.842432068302,random_placebo_seed_34,34,seed
0.036826913953887486,0.10981091850871283,-0.14197687088348276,0.3249327695458312,0.25938671365782184,0.14275218897604183,430.0,222.0,208.0,0.6520506099528894,0.9734706523098521,1.0,12.045454545454545,20.0,24.243488726610316,1454.6093235966189,1177.7278165409857,2424.315032119732,34604.250335414676,-11894.093999999975,1.4286586413357398,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,0.007942558560156243,-4668.769187599875,27378.92552301457,random_placebo_seed_35,35,seed
0.04405395406484369,0.13224368138451137,-0.1600534178050027,0.360891173758214,0.2752453191503588,0.13752818924891447,432.0,225.0,207.0,0.6673729548767312,0.9965878326890865,1.0,12.023415977961433,20.0,24.821563581445677,1489.2938148867406,1204.4392964193362,2482.120339791713,32981.0530139373,-5765.686499999994,1.371141046358554,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,0.01516959867111245,10117.619220400109,17097.747293537206,random_placebo_seed_36,36,seed
0.057447162312550315,0.17459484548505366,-0.16873563488510757,0.4521078278184285,0.3404566104348154,0.1433055391038731,416.0,213.0,203.0,0.663599119114115,0.9551080921855513,1.0,12.048209366391184,20.0,24.888901282808618,1493.334076968517,1202.1469266655922,2488.8484523552165,42299.669517979855,-6608.654499999987,1.4816711428054894,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,0.028562806918819073,6605.9477756001115,29085.067242379748,random_placebo_seed_37,37,seed
0.02650501516645276,0.07827793339050149,-0.16360727903169558,0.2522631487751781,0.16200388713339553,0.14728600350782406,427.0,222.0,205.0,0.6601579974688906,0.9648858075931495,1.0,12.075757575757576,20.0,23.925908378407033,1435.5545027044218,1156.5283362996279,2392.5516688957355,20012.64467902487,-3615.4204999999797,1.2307623146766768,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,-0.0023793402272784814,-1910.2084419998932,18307.432621024793,random_placebo_seed_38,38,seed
0.05068297221865059,0.15307864174251073,-0.13221733557662807,0.43726416209128427,0.3833307636824726,0.13403820112089948,429.0,222.0,207.0,0.6628450226625996,0.9956917976462683,1.0,11.993112947658402,20.0,24.473642946445683,1468.4185767867407,1186.115462919336,2447.3273397917246,34348.687647537314,-2976.2099999999873,1.390334218755599,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,0.021798616824919348,1993.4514684001051,29379.02617913722,random_placebo_seed_39,39,seed
0.02822313484858663,0.08348559274431255,-0.19101378524739754,0.27465146756841075,0.1477544398799937,0.1342598116259524,435.0,225.0,210.0,0.6604383809565928,0.997445261924816,1.0,12.005509641873278,20.0,24.738813478216034,1484.3288086929624,1198.3328689674324,2473.8433584772265,25011.082136174864,-7548.634499999994,1.2744350312516406,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,-0.000661220545144614,-4475.221844399895,21937.669480574757,random_placebo_seed_40,40,seed
0.028932273663440755,0.0856397865136378,-0.20960041716376643,0.2598650764120134,0.13803538206145455,0.149450252914299,416.0,212.0,204.0,0.651273549318773,0.9474991842583618,1.0,12.081267217630854,20.0,23.311171743732885,1398.6703046239732,1129.0360030892546,2331.0812345592462,22687.45550549795,-4838.249499999982,1.272279400078544,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,4.791826970951263e-05,5853.798788800123,11995.407216697844,random_placebo_seed_41,41,seed
0.03519535152407616,0.1047870345779025,-0.20387012055351783,0.30697076178011273,0.17263614417119572,0.14815480552887256,439.0,225.0,214.0,0.6528147420095531,0.9182574892049055,1.0,11.891184573002755,20.0,24.79595958275445,1487.7575749652667,1202.9440062619242,2479.5597241922233,27459.754086788693,-5736.355999999989,1.3061815560559724,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,0.006310996130344915,8049.0762272001,13674.321859588603,random_placebo_seed_42,42,seed
0.028050957483872985,0.08296298058563667,-0.19222795266429227,0.25501247024238227,0.1459254863566138,0.1477152553537284,446.0,228.0,218.0,0.6635600743297527,0.9829313217477962,1.0,12.026170798898072,20.0,25.307840175631483,1518.4704105378887,1227.076544549628,2530.7463347852236,22549.66360093537,-5174.842999999988,1.2459256749314713,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,-0.0008333979098582578,12796.768996800089,4578.0516041352885,random_placebo_seed_43,43,seed
0.024898370910526824,0.07342296964135908,-0.17957168458173156,0.23543656605319435,0.13865421471387043,0.14745949990690924,409.0,208.0,201.0,0.6594853660366903,0.9792932297676246,1.0,12.024793388429751,20.0,22.573250380853345,1354.3950228512008,1089.0037672222536,2257.2859436547405,17787.62469078965,-2402.0379999999877,1.2109840448811329,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,-0.003985984483204419,5778.223735600108,9607.36295518956,random_placebo_seed_44,44,seed
0.03659033012150781,0.10908151025909674,-0.15754268317546827,0.31484933989438235,0.23225661378862097,0.15027687834727138,422.0,218.0,204.0,0.654533366427637,0.9384670541524851,1.0,12.024793388429751,20.0,23.367460116637726,1402.0476069982633,1132.9480802666574,2336.7111709157443,29483.035310657593,-6944.454499999992,1.3607360485522748,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,0.0077059747277765656,-4026.2364415999014,26564.817252257504,random_placebo_seed_45,45,seed
0.04621925512796854,0.13902193958279363,-0.16246662032769854,0.3791825184037494,0.2844846223473064,0.1477398212174116,433.0,220.0,213.0,0.6588732496075651,0.9559123884936861,1.0,11.973829201101928,20.0,24.74973453270357,1484.9840719622139,1199.1428553461456,2474.935728132722,31139.05627531341,-2569.1699999999832,1.3829251773735376,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,0.017334899734237297,7578.609802400129,20991.276472913305,random_placebo_seed_46,46,seed
0.029431467958381807,0.08715789496213788,-0.1869402247798836,0.27970625494011087,0.1574378547636629,0.13529422685596434,420.0,214.0,206.0,0.6593979567447735,0.9582667174866273,1.0,12.181818181818182,20.0,23.43026298623289,1405.8157791739732,1131.3633388392545,2342.986734559245,23531.500768297938,-5372.923999999992,1.2936916322069376,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,0.0005471125646505648,-227.59799079990125,18386.17475909785,random_placebo_seed_47,47,seed
0.010194290925528593,0.02965168686750963,-0.22637783390518473,0.13079797823924788,0.04503219573078136,0.12498670382254376,452.0,232.0,220.0,0.653957606084472,0.9239747850254149,1.0,12.081267217630854,20.0,24.130428346445676,1447.8257007867405,1166.4233139193361,2413.003339791729,10273.532085937331,-3595.2229999999904,1.111041472511582,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,-0.01869006446820265,-6495.851268799879,13174.160354737212,random_placebo_seed_48,48,seed
0.03312786715959426,0.09844222574865569,-0.17344477976989292,0.30317934489935255,0.1909995054538084,0.13728962341969633,418.0,216.0,202.0,0.6704678105197586,0.9655112600027498,1.0,12.110192837465565,20.0,23.830012760777045,1429.8007656466223,1154.558339102472,2382.9649295197223,26975.7629119163,-6550.251999999985,1.3093613003318083,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,0.004243511765863017,4351.742835600104,16073.768076316202,random_placebo_seed_49,49,seed
0.006375214680871544,0.01847701788616174,-0.21321213941209427,0.11887957244303861,0.029900805359631015,0.14235102048334322,427.0,218.0,209.0,0.6522579674942878,0.9376522003932891,1.0,12.070247933884298,20.0,23.424392192140015,1405.4635315284008,1129.3789211144694,2342.397964124746,6384.9732560921,-1961.7334999999887,1.0673352677929153,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,-0.0225091407128597,-6453.427417999885,10876.66717409199,random_placebo_seed_50,50,seed
0.019547764562666492,0.057357446723219185,-0.22473515915306497,0.20204334551368633,0.08698133677139809,0.14246853284936095,422.0,219.0,203.0,0.6535349165305693,0.9629755212524471,1.0,12.0,20.0,22.391741943445076,1343.5045166067043,1080.0768648537799,2239.1352438957397,19661.618242338187,-7494.670499999982,1.2355305501450908,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,-0.00933659083106475,-6288.6369543999,18455.584696738115,random_placebo_seed_51,51,seed
0.03686897738328376,0.10994063645332619,-0.19006755943466114,0.3418288328321891,0.19397827537191104,0.13338411762977936,418.0,215.0,203.0,0.6593839846356752,0.9382266556293517,1.0,11.994490358126722,20.0,23.166373176848378,1389.9823906109023,1125.1642273195675,2316.604742404229,24001.181144884467,-1298.1699999999832,1.271363116454767,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,0.00798462198955252,3839.792830400115,18863.218314484355,random_placebo_seed_52,52,seed
0.02050127449468686,0.060208842339090296,-0.19765304347150126,0.20162588454358132,0.10372354573757349,0.14244115737018334,424.0,219.0,205.0,0.6533155907515873,0.9591374633228071,1.0,12.023415977961433,20.0,24.051236749495157,1443.0742049697094,1166.2013484800748,2405.087915732215,17153.311363699642,-4368.189499999989,1.186836067958441,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,-0.008383080899044382,12009.854697200108,775.2671664995531,random_placebo_seed_53,53,seed
0.025625386264917616,0.07561809556790888,-0.20875449784480882,0.25170959361729606,0.12275369646870031,0.13318664332273203,421.0,218.0,203.0,0.6573345788152996,0.9212049979968744,1.0,12.005509641873278,20.0,23.090908581299633,1385.4545148779778,1114.7448836930198,2309.0516348472365,18660.004698243887,-2819.777999999984,1.2011263148041704,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,-0.003258969128813627,10021.88366440009,5818.34303384381,random_placebo_seed_54,54,seed
0.04210638411887491,0.12616955325571388,-0.17262452271188466,0.35579936429877346,0.24391890246759254,0.14287766022118856,435.0,226.0,209.0,0.6618074806540856,0.971018517586353,1.0,12.075757575757576,20.0,24.22287767411032,1453.3726604466187,1172.3030302909858,2422.249532119731,30440.69449341469,-4456.792999999983,1.3775736320880108,random_placebo_from_v2_candidate_pool,next_bar,0.028884355393731243,0.013222028725143664,5591.754308800113,20392.147184614594,random_placebo_seed_55,55,seed
