segment_name,requested_start,requested_end,actual_start,actual_end,profile,execution_mode,annual_return,cumulative_return,max_drawdown,sharpe,calmar,volatility,total_trades,buy_trades,sell_trades,avg_daily_exposure,max_daily_exposure,avg_positions,max_positions,turnover,benchmark_annual_return,excess_annual_return,defensive_pnl,cyclical_pnl,defensive_trade_count,cyclical_trade_count
half_2023h2_2024h1,2023-10-03,2024-04-03,2023-10-09,2024-04-03,combined_v2,next_bar,-0.05056886105549552,-0.024407799336499725,-0.03537220752883652,-1.9206120450723103,-1.4296212927697605,0.025180730142211085,16,11,5,0.12883349071858755,0.19863066737115603,3.2416666666666667,5,0.5330335549999999,-0.06495247934887971,0.014383618293384193,-5642.6235663999905,0.0,11,5
half_2023h2_2024h1,2023-10-03,2024-04-03,2023-10-09,2024-04-03,baseline,next_bar,0.024923202248808396,0.011791687427000097,-0.0036458660221354577,2.4948561052717535,6.836017038884597,0.009970692653831947,5,3,2,0.02048136222441558,0.06650762904173961,0.65,2,0.1390703725,-0.06495247934887971,0.0898756815976881,0.0,-538.7509675999985,1,4
half_2024_h2,2024-04-03,2024-10-03,2024-04-03,2024-09-30,combined_v2,next_bar,0.1895228178573356,0.08615498229174956,-0.013248795060377905,2.543962641955626,14.304909766785215,0.06970026969379528,21,18,3,0.19759243727243359,0.4891613155232827,5.358333333333333,13,0.6965222649999999,0.2807093057690493,-0.09118648791171369,1314.6974904000012,-2231.108019599998,9,12
half_2024_h2,2024-04-03,2024-10-03,2024-04-03,2024-09-30,baseline,next_bar,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.2807093057690493,-0.2807093057690493,0.0,0.0,0,0
half_2024h2_2025h1,2024-10-03,2025-04-03,2024-10-08,2025-04-03,combined_v2,next_bar,0.04549747999442433,0.021413101028500137,-0.040157934608713086,0.5999617353379516,1.132963645609222,0.08013642216277005,10,10,0,0.1785090214935688,0.35758332144769384,5.5,10,0.33997990499999997,-0.18342172419348302,0.22891920418790734,0.0,0.0,6,4
half_2024h2_2025h1,2024-10-03,2025-04-03,2024-10-08,2025-04-03,baseline,next_bar,-0.0010048475604497176,-0.00047862483125005184,-0.0010286248312501023,-1.1708322236462825,-0.9768844090886977,0.0008655590526160481,3,2,1,0.002072657138166029,0.029342450810891933,0.075,1,0.0862488375,-0.18342172419348302,0.1824168766330333,0.0,-34.55045759999948,0,3
half_2025_h2,2025-04-03,2025-10-03,2025-04-03,2025-09-30,combined_v2,next_bar,0.18055643450878045,0.08438924275374982,-0.017659380594798324,3.3108532715625354,10.224392273529935,0.05180296654205172,15,13,2,0.4072971449291953,0.46654454549107377,11.91869918699187,13,0.5070079125,0.45287408022016384,-0.2723176457113834,0.0,6346.611640800002,7,8
half_2025_h2,2025-04-03,2025-10-03,2025-04-03,2025-09-30,baseline,next_bar,-0.002087310460699654,-0.0010193511689999823,-0.0002764642784844895,1.0388868592329519,-7.550018657534299,0.0016015571989391924,2,1,1,0.0004493524321080777,0.028160926168213137,0.016260162601626018,1,0.056760479999999995,0.45287408022016384,-0.4549613906808635,0.0,-202.13776799999764,0,2
half_2025h2_2026h1,2025-10-03,2026-04-03,2025-10-09,2026-04-03,combined_v2,next_bar,-0.020554088143874605,-0.009677688526749995,-0.013019734046782694,-1.342205533958844,-1.5786872504476177,0.015515107932007324,6,4,2,0.10021513571804366,0.1522651621251142,2.6864406779661016,4,0.222361485,-0.11697612922212475,0.09642204107825014,-1789.959425999998,0.0,6,0
half_2025h2_2026h1,2025-10-03,2026-04-03,2025-10-09,2026-04-03,baseline,next_bar,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,-0.11697612922212475,0.11697612922212475,0.0,0.0,0,0
