date,variant,market_regime,raw_buy_signal_count,account_actionable_buy_count,watch_only_count,executable_buy_count,cyclical_candidates,cyclical_executed_buys,holdings_count,cash,nav,cash_ratio,exposure,replacement_count
2024-06-24,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,1,0,1,0,1,0,2,38968.40351845001,49755.40351845001,0.7831994268522006,0.21680057314779946,0
2024-06-25,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,0,0,0,0,0,0,2,38968.40351845001,49767.40351845001,0.7830105804897669,0.2169894195102331,0
2024-06-26,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,1,0,1,0,1,0,2,38968.40351845001,49723.40351845001,0.7837034627766515,0.2162965372233485,0
2024-06-27,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,0,0,0,0,0,0,2,38968.40351845001,49699.40351845001,0.7840819156709535,0.21591808432904652,0
2024-06-28,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,0,0,0,0,0,0,2,38968.40351845001,49755.40351845001,0.7831994268522006,0.21680057314779946,0
2024-07-01,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,0,0,0,0,0,0,2,38968.40351845001,49818.40351845001,0.7822089984079528,0.21779100159204728,0
2024-07-02,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,0,0,0,0,0,0,2,38968.40351845001,49741.40351845001,0.7834198627707781,0.21658013722922181,0
2024-07-03,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,0,0,0,0,0,0,2,38968.40351845001,49660.40351845001,0.7846976818054313,0.21530231819456863,0
2024-07-04,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,0,0,0,0,0,0,2,38968.40351845001,49560.40351845001,0.7862809975698264,0.21371900243017355,0
2024-07-05,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,0,0,0,0,0,0,2,38968.40351845001,49579.40351845001,0.7859796760957134,0.21402032390428666,0
2024-07-08,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,0,0,0,0,0,0,2,38968.40351845001,49742.40351845001,0.7834041132330125,0.21659588676698752,0
2024-07-09,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,0,0,0,0,0,0,2,38968.40351845001,49776.40351845001,0.7828690054717607,0.21713099452823928,0
2024-07-10,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,0,0,0,0,0,0,2,38968.40351845001,49830.40351845001,0.7820206293136222,0.21797937068637782,0
2024-07-11,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,0,0,0,0,0,0,2,38968.40351845001,50037.40351845001,0.7787854840245939,0.2212145159754061,0
2024-07-12,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,0,0,0,0,0,0,2,38968.40351845001,50099.40351845001,0.7778217060827719,0.22217829391722815,0
2024-07-15,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,0,0,0,0,0,0,2,38968.40351845001,50053.40351845001,0.7785365385609793,0.22146346143902076,0
2024-07-16,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,0,0,0,0,0,0,2,38968.40351845001,50193.40351845001,0.7763650357785773,0.2236349642214227,0
2024-07-17,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,1,0,1,0,1,0,2,38968.40351845001,50275.40351845001,0.7750987717910495,0.22490122820895053,0
2024-07-18,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,1,0,1,0,1,0,2,38968.40351845001,50204.40351845001,0.7761949308715361,0.22380506912846387,0
2024-07-19,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,1,0,1,0,1,0,2,38968.40351845001,50125.40351845001,0.7774182506901244,0.22258174930987568,0
2024-07-22,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,0,0,0,0,0,0,2,38968.40351845001,49913.40351845001,0.7807202228564861,0.21927977714351388,0
2024-07-23,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,0,0,0,0,0,0,2,38968.40351845001,49837.40351845001,0.7819107892333065,0.21808921076669358,0
2024-07-24,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,1,0,1,0,1,0,2,38968.40351845001,50036.40351845001,0.7788010484023122,0.22119895159768782,0
2024-07-25,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,1,0,1,0,1,0,2,38968.40351845001,50071.40351845001,0.7782566650861138,0.2217433349138862,0
2024-07-26,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,1,0,1,0,1,0,2,38968.40351845001,50162.40351845001,0.7768448237157778,0.2231551762842222,0
2024-07-29,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,0,0,0,0,0,0,2,38968.40351845001,49932.40351845001,0.780423147546887,0.21957685245311304,0
2024-07-30,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,1,1,0,1,0,0,3,35866.92385360001,50129.92385360001,0.7154793204622887,0.2845206795377113,0
2024-07-31,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,2,0,2,0,2,0,3,35866.92385360001,50154.92385360001,0.7151226858263002,0.28487731417369977,0
2024-08-01,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,0,0,0,0,0,0,3,35866.92385360001,50065.92385360001,0.7163939281032758,0.2836060718967241,0
2024-08-02,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,1,0,1,0,1,0,3,35866.92385360001,49837.92385360001,0.7196713081178879,0.28032869188211207,0
2024-08-05,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,2,0,2,0,2,0,3,35866.92385360001,49692.92385360001,0.7217712517634767,0.27822874823652327,0
2024-08-06,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,2,0,2,0,2,0,3,35866.92385360001,49844.92385360001,0.71957024067175,0.28042975932825004,0
2024-08-07,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,2,0,2,0,2,0,3,35866.92385360001,49980.92385360001,0.7176122626035973,0.2823877373964027,0
2024-08-08,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,2,0,2,0,2,0,3,35866.92385360001,49923.92385360001,0.7184315872041306,0.2815684127958694,0
2024-08-09,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,2,0,2,0,2,0,3,35866.92385360001,49999.92385360001,0.717339569528516,0.282660430471484,0
2024-08-12,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,2,0,2,0,2,0,3,35866.92385360001,49990.92385360001,0.7174687140937308,0.28253128590626925,0
2024-08-13,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,2,0,2,0,2,0,3,35866.92385360001,49987.92385360001,0.7175117726161968,0.2824882273838032,0
2024-08-14,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,2,0,2,0,2,0,3,35866.92385360001,50091.92385360001,0.7160220868822215,0.2839779131177785,0
2024-08-15,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_off,0,0,0,0,0,0,3,35866.92385360001,50281.92385360001,0.7133164585752433,0.28668354142475666,0
2024-08-16,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_off,0,0,0,0,0,0,3,35866.92385360001,50466.92385360001,0.7107016064154558,0.28929839358454423,0
2024-08-19,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_off,0,0,0,0,0,0,3,35866.92385360001,50406.92385360001,0.7115475635404883,0.2884524364595117,0
2024-08-20,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_off,0,0,0,0,0,0,3,35866.92385360001,50380.92385360001,0.7119147707140966,0.2880852292859034,0
2024-08-21,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_off,0,0,0,0,0,0,3,35866.92385360001,50503.92385360001,0.7101809348036103,0.28981906519638967,0
2024-08-22,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_off,0,0,0,0,0,0,3,35866.92385360001,50715.92385360001,0.7072122743368706,0.2927877256631294,0
2024-08-23,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_off,0,0,0,0,0,0,3,35866.92385360001,50388.92385360001,0.7118017435301413,0.28819825646985875,0
2024-08-26,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_off,0,0,0,0,0,0,3,35866.92385360001,50450.92385360001,0.7109269982385202,0.2890730017614798,0
2024-08-27,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_off,0,0,0,0,0,0,3,35866.92385360001,50334.92385360001,0.7125653742502834,0.28743462574971657,0
2024-08-28,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_off,0,0,0,0,0,0,3,35866.92385360001,50202.92385360001,0.7144389430024806,0.28556105699751944,0
2024-08-29,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_off,0,0,0,0,0,0,3,35866.92385360001,50040.92385360001,0.7167518321310867,0.2832481678689132,0
2024-08-30,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_off,0,0,0,0,0,0,3,35866.92385360001,49843.92385360001,0.7195846771403311,0.2804153228596689,0
2024-09-02,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_off,0,0,0,0,0,0,3,35866.92385360001,49878.92385360001,0.7190797451619702,0.28092025483802985,0
2024-09-03,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_off,0,0,0,0,0,0,3,35866.92385360001,50058.92385360001,0.7164941051968025,0.28350589480319754,0
2024-09-04,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_off,0,0,0,0,0,0,3,35866.92385360001,50199.92385360001,0.7144816386216066,0.2855183613783934,0
2024-09-05,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_off,0,0,0,0,0,0,3,35866.92385360001,50039.92385360001,0.7167661557306636,0.28323384426933645,0
2024-09-06,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_off,0,0,0,0,0,0,3,35866.92385360001,50023.92385360001,0.7169954112070083,0.2830045887929917,0
2024-09-09,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_off,0,0,0,0,0,0,3,35866.92385360001,50327.92385360001,0.7126644833976081,0.28733551660239187,0
2024-09-10,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_off,0,0,0,0,0,0,3,35866.92385360001,50278.92385360001,0.7133590201340777,0.2866409798659223,0
2024-09-11,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_off,0,0,0,0,0,0,3,35866.92385360001,50453.92385360001,0.7108847263826997,0.2891152736173003,0
2024-09-12,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_off,0,0,0,0,0,0,3,35866.92385360001,50420.92385360001,0.7113499934618739,0.28865000653812606,0
2024-09-13,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_off,0,0,0,0,0,0,3,35866.92385360001,50439.92385360001,0.7110820380637848,0.28891796193621516,0
2024-09-18,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_off,0,0,0,0,0,0,3,35866.92385360001,50641.92385360001,0.7082456811334256,0.29175431886657444,0
2024-09-19,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_off,0,0,0,0,0,0,3,35866.92385360001,50657.92385360001,0.7080219860027115,0.2919780139972885,0
2024-09-20,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_off,0,0,0,0,0,0,3,35866.92385360001,50827.92385360001,0.7056539227710291,0.2943460772289709,0
2024-09-23,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_off,0,0,0,0,0,0,3,35866.92385360001,51041.92385360001,0.7026953755989803,0.29730462440101973,0
2024-09-24,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,2,0,2,0,2,0,3,35866.92385360001,51496.92385360001,0.6964867252181055,0.30351327478189455,0
2024-09-25,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,neutral,2,1,1,1,1,0,4,32428.17453820001,51955.17453820001,0.6241567818111595,0.3758432181888405,0
2024-09-26,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,1,1,0,1,1,1,5,26661.564073900012,52608.564073900016,0.5067913284317763,0.4932086715682237,0
2024-09-27,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,1,0,1,0,1,0,5,26661.564073900012,54356.564073900016,0.49049391785787827,0.5095060821421217,0
2024-09-30,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,0,0,0,0,0,0,5,26661.564073900012,55081.56407390001,0.48403789039341016,0.5159621096065898,0
2024-10-08,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,0,0,0,0,0,0,5,26661.564073900012,52833.56407390001,0.5046330782569888,0.4953669217430113,0
2024-10-09,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,2,0,2,0,2,0,5,26661.564073900012,53788.56407390001,0.49567346764025416,0.5043265323597459,0
2024-10-10,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,0,0,0,0,0,0,5,26661.564073900012,53487.56407390001,0.49846285833962456,0.5015371416603754,0
2024-10-11,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,1,0,1,0,1,0,5,26661.564073900012,53936.56407390001,0.4943133573983365,0.5056866426016635,0
2024-10-14,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,1,0,1,0,1,0,5,26661.564073900012,53279.56407390001,0.5004088253597533,0.49959117464024677,0
2024-10-15,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,0,0,0,0,0,0,5,26661.564073900012,53211.56407390001,0.5010483066589161,0.49895169334108397,0
2024-10-16,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,0,0,0,0,0,0,5,26661.564073900012,52783.56407390001,0.5051110992916715,0.49488890070832847,0
2024-10-17,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,0,0,0,0,0,0,5,26661.564073900012,53056.56407390001,0.5025120744110826,0.4974879255889174,0
2024-10-18,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,0,0,0,0,0,0,5,26661.564073900012,53173.56407390001,0.5014063762369977,0.4985936237630023,0
2024-10-21,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,0,0,0,0,0,0,5,26661.564073900012,53572.564073900016,0.49767198070120455,0.5023280192987954,0
2024-10-22,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,1,0,1,0,1,0,5,26661.564073900012,53589.56407390001,0.49751410623780623,0.5024858937621938,0
2024-10-23,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,1,0,1,0,1,0,5,26661.564073900012,53271.56407390001,0.5004839737184034,0.49951602628159664,0
2024-10-24,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,1,0,1,0,1,0,5,26661.564073900012,52904.56407390001,0.5039558408733446,0.4960441591266555,0
2024-10-25,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,1,0,1,0,1,0,5,26661.564073900012,53119.56407390001,0.5019160932271283,0.4980839067728717,0
2024-10-28,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,0,0,0,0,0,0,5,26661.564073900012,52758.56407390001,0.5053504495792306,0.4946495504207694,0
2024-10-29,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,1,0,1,0,1,0,5,26661.564073900012,52452.56407390001,0.5082985845331935,0.4917014154668065,0
2024-10-30,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,0,0,0,0,0,0,5,26661.564073900012,52347.56407390001,0.5093181420297112,0.4906818579702888,0
2024-10-31,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,1,0,1,0,1,0,5,26661.564073900012,52509.56407390001,0.5077468180154289,0.4922531819845711,0
2024-11-01,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,0,0,0,0,0,0,5,26661.564073900012,52694.56407390001,0.5059642212147206,0.49403577878527943,0
2024-11-04,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,0,0,0,0,0,0,5,26661.564073900012,52895.56407390001,0.5040415872425774,0.49595841275742264,0
2024-11-05,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,0,0,0,0,0,0,5,26661.564073900012,52601.56407390001,0.5068587701392898,0.49314122986071013,0
2024-11-06,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,0,0,0,0,0,0,5,26661.564073900012,53340.56407390001,0.4998365603513695,0.5001634396486305,0
2024-11-07,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,0,0,0,0,0,0,5,26661.564073900012,53134.56407390001,0.5017744012507354,0.4982255987492646,0
2024-11-08,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,0,0,0,0,0,0,5,26661.564073900012,52803.56407390001,0.504919782243987,0.4950802177560129,0
2024-11-11,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,0,0,0,0,0,0,5,26661.564073900012,52519.56407390001,0.5076501403626401,0.49234985963735983,0
2024-11-12,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,0,0,0,0,0,0,5,26661.564073900012,52489.564073900016,0.5079402838317197,0.4920597161682803,0
2024-11-13,mp6_tr1_tu8_cr15_sw18_ind2_def4_cy1_lot100_gap10_rpm1_ro85_ne60_rf25_rep1_cyc1_current,risk_on,0,0,0,0,0,0,5,26661.564073900012,52342.56407390001,0.5093667944172128,0.4906332055827872,0
