date,market_regime,nav_before,nav_after,daily_pnl,daily_return,exposure,holdings_count,defensive_daily_pnl,cyclical_daily_pnl,realized_pnl_today,unrealized_pnl_today,fees_today,tax_today,slippage_today,trade_count,buy_count,sell_count
2024-06-13,neutral,197178.10597135007,197116.10597135007,-62.0,-0.00031443653287251166,0.3080773115963766,7,-44.73858415531806,-17.261415844681938,0.0,-62.0,0.0,0.0,0.0,0,0,0
2024-06-14,risk_on,197116.10597135007,197786.72755055007,670.6215792000003,0.0034021653172139677,0.3381116661779463,7,446.18186325545975,224.43971594454058,0.0,670.6215792000003,1.6424207999999996,0.0,2.73599999999945,1,1,0
2024-06-17,neutral,197786.72755055007,197334.72755055007,-452.0,-0.0022852898452676933,0.33659559482749973,7,-300.11977959109936,-151.88022040890067,0.0,-452.0,0.0,0.0,0.0,0,0,0
2024-06-18,risk_on,197334.72755055007,197549.72755055007,215.0,0.00108951932925706,0.3373176001113369,7,142.91174572684844,72.08825427315155,0.0,215.0,0.0,0.0,0.0,0,0,0
2024-06-19,neutral,197549.72755055007,197208.72755055007,-341.0,-0.001726147660278312,0.3361717345040244,7,-226.74524858211655,-114.25475141788343,0.0,-341.0,0.0,0.0,0.0,0,0,0
2024-06-20,neutral,197208.72755055007,197014.72755055007,-194.0,-0.000983729282215831,0.33551806416624125,7,-129.1895252791141,-64.8104747208859,0.0,-194.0,0.0,0.0,0.0,0,0,0
2024-06-21,neutral,197014.72755055007,196987.72755055007,-27.0,-0.00013704559215286247,0.3354269873641958,7,-17.925629965947785,-9.074370034052214,0.0,-27.0,0.0,0.0,0.0,0,0,0
2024-06-24,neutral,196987.72755055007,196627.72755055007,-360.0,-0.0018275250162861972,0.33421023992206617,7,-239.13444419082404,-120.86555580917599,0.0,-360.0,0.0,0.0,0.0,0,0,0
2024-06-25,neutral,196627.72755055007,196674.72755055007,47.0,0.00023903037778798006,0.3343693458687904,7,31.205878774976426,15.79412122502357,0.0,47.0,0.0,0.0,0.0,0,0,0
2024-06-26,neutral,196674.72755055007,197163.72755055007,489.0,0.002486338769043498,0.33602022452641117,7,323.9087108119123,165.09128918808773,0.0,489.0,0.0,0.0,0.0,0,0,0
2024-06-27,neutral,197163.72755055007,196791.72755055007,-372.0,-0.001886756781389337,0.3347650880450633,7,-246.7332533887885,-125.26674661121146,0.0,-372.0,0.0,0.0,0.0,0,0,0
